algorithm,RQ,experiment_id,iteration,no_datapoints,no_features,preprocessing_energy(J),preprocessing_time(s),train_energy(J),train_time(s),predict_energy(J),predict_time(s),datatype,accuracy,precision,recall,f1
Multinomial NB,2.2,55,1,3900,4084,0.3034049832552041,1.5284810066223145,0.02595616884517563,1.3997397422790527,0.15766534956703063,1.4523520469665527,int32,0.8666267942583732,0.0,0.0,0.0
Multinomial NB,2.2,57,2,3900,5718,0.3049490038916447,1.5104100704193115,0.025575690438983164,1.3930413722991943,0.18186845554684436,1.4487268924713135,int32,0.8666267942583732,0.0,0.0,0.0
Multinomial NB,2.2,54,0,3900,3267,0.31445540002939876,1.5237610340118408,0.031776215734076234,1.4023900032043457,0.11127972281753909,1.44315505027771,int32,0.8666267942583732,0.0,0.0,0.0
KNN,2.1,70,4,3119,8169,0.024456457603010552,1.3894197940826416,0.01305117787491985,1.3829259872436523,0.6279715729619368,1.6668081283569336,int32,0.8789237668161435,0.6026490066225165,0.47150259067357514,0.5290697674418604
AdaBoost,2.1,113,2,2730,8169,0.030934923193504698,1.3998017311096191,1.380576087870682,2.0585551261901855,0.152054093434838,1.4442460536956787,int32,0.8863247863247863,0.5823529411764706,0.6149068322981367,0.5981873111782477
Decision Tree,2.3,39,1,3900,8169,0.023631253842654503,1.4180941581726074,0.16947499838751479,1.4251410961151123,0.09801828645492884,1.452286958694458,int16,0.8845693779904307,0.5842696629213483,0.4663677130044843,0.5187032418952617
Bagging Classifier,2.1,135,2,2730,8169,0.03633468961528073,1.4018068313598633,0.5615770588598208,1.6077778339385986,0.10946711067859737,1.431701898574829,int32,0.8735042735042735,0.5403726708074534,0.5403726708074534,0.5403726708074534
Decision Tree,2.2,32,4,3900,3267,0.3392799648178826,1.513031005859375,0.047022512972771956,1.425093173980713,0.08184615653709337,1.455915927886963,int32,0.8845693779904307,0.5842696629213483,0.4663677130044843,0.5187032418952617
Decision Tree,2.1,27,1,3509,8169,0.03243281899916896,1.3871817588806152,0.12127905679443317,1.417896032333374,0.10277498290748645,1.4420099258422852,int32,0.8817275747508305,0.5685279187817259,0.5463414634146342,0.5572139303482587
Multinomial NB,2.1,50,1,3900,8169,0.02901289151548201,1.3855528831481934,0.025823449052455674,1.4111461639404297,0.23382080093107657,1.459378957748413,int32,0.8666267942583732,0.0,0.0,0.0
